week_start,week_end,papers,flagged_papers,unique_languages,total_language_mentions,top_language,top_language_count,needs_review_detections,needs_review_papers,class_0_mentions,class_0_studied,class_0_false_positive,class_1_mentions,class_1_studied,class_1_false_positive,class_2_mentions,class_2_studied,class_2_false_positive,class_3_mentions,class_3_studied,class_3_false_positive,class_4_mentions,class_4_studied,class_4_false_positive,class_5_mentions,class_5_studied,class_5_false_positive,pdf_failed_no_detection,judged_papers,judge_studied,judge_mentioned_only,judge_false_positive
2026-04-27,2026-05-04,475,200,93,708,English,173,146,115,25,13,213,6,3,11,59,40,7,86,65,24,164,118,37,368,186,27,0,290,425,283,319
2026-05-04,2026-05-11,607,254,161,964,English,217,237,181,76,56,336,33,23,12,149,115,10,96,58,27,185,107,35,425,186,39,2,381,545,419,459
2026-05-11,2026-05-18,658,267,194,1220,English,230,265,195,67,49,330,59,32,28,198,150,8,153,92,22,232,134,43,511,255,29,1,411,712,508,460
2026-05-18,2026-05-25,556,242,75,742,English,210,232,171,21,11,296,8,4,15,59,27,12,74,38,37,153,93,31,427,188,23,4,348,361,381,414
2026-05-25,2026-06-01,868,409,131,1579,English,356,381,282,35,19,540,24,16,29,196,153,24,215,151,59,344,251,76,765,398,53,0,593,988,591,781
2026-06-01,2026-06-08,715,317,112,1017,English,276,264,204,32,17,326,20,13,16,127,107,11,111,87,39,187,139,53,540,268,32,0,474,631,386,477
2026-06-08,2026-06-15,556,254,102,831,English,229,212,166,48,23,308,9,5,19,99,79,6,92,59,33,129,89,39,454,246,31,0,372,501,330,436
2026-06-15,2026-06-22,490,228,77,754,English,208,202,155,15,8,277,9,8,14,63,50,4,101,59,26,149,92,34,417,191,34,0,321,408,346,389
2026-06-22,2026-06-29,475,220,122,877,English,193,181,139,30,15,252,20,6,11,134,89,5,120,75,28,157,111,32,416,189,21,0,308,485,392,349
2026-06-29,2026-07-06,440,181,146,771,English,162,155,115,34,19,201,19,18,17,124,93,7,106,70,27,159,109,28,329,155,26,0,283,464,307,306
2026-07-06,2026-07-13,335,176,80,614,English,157,132,97,30,13,178,13,7,12,52,23,5,66,35,19,128,69,18,325,158,19,0,232,305,309,251
2026-07-13,2026-07-20,320,132,132,583,English,113,119,94,16,10,160,7,6,9,111,101,5,78,66,15,128,116,20,243,166,19,0,198,465,118,228
2026-07-20,2026-07-27,347,155,104,537,English,135,110,86,27,23,155,12,10,11,69,57,5,67,55,21,90,62,15,272,176,13,0,200,383,154,220
2026-07-27,2026-08-03,429,240,217,937,English,144,153,123,216,216,0,14,14,0,82,82,0,126,126,0,168,168,0,331,331,0,0,0,0,0,0
